TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,0,0
2020-02-26T00:00:00Z,0,0
2020-02-27T00:00:00Z,1,0
2020-02-28T00:00:00Z,1,0
2020-02-29T00:00:00Z,3,0
2020-03-01T00:00:00Z,4,0
2020-03-02T00:00:00Z,4,0
2020-03-03T00:00:00Z,6,0
2020-03-04T00:00:00Z,10,0
2020-03-05T00:00:00Z,10,0
2020-03-06T00:00:00Z,23,0
2020-03-07T00:00:00Z,23,0
2020-03-08T00:00:00Z,35,0
2020-03-09T00:00:00Z,90,0
2020-03-10T00:00:00Z,262,0
2020-03-11T00:00:00Z,442,0
2020-03-12T00:00:00Z,615,0
2020-03-13T00:00:00Z,801,0
2020-03-14T00:00:00Z,827,1
2020-03-15T00:00:00Z,864,2
2020-03-16T00:00:00Z,914,3
2020-03-17T00:00:00Z,977,4
2020-03-18T00:00:00Z,1057,4
2020-03-19T00:00:00Z,1151,6
2020-03-20T00:00:00Z,1255,9
2020-03-21T00:00:00Z,1326,13
2020-03-22T00:00:00Z,1395,13
2020-03-23T00:00:00Z,1450,24
2020-03-24T00:00:00Z,1591,32
2020-03-25T00:00:00Z,1724,34
2020-03-26T00:00:00Z,1877,41
2020-03-27T00:00:00Z,2046,52
2020-03-28T00:00:00Z,2201,65
2020-03-29T00:00:00Z,2395,72
2020-03-30T00:00:00Z,2577,77
2020-03-31T00:00:00Z,2860,90
2020-04-01T00:00:00Z,3107,104
2020-04-02T00:00:00Z,3386,123
2020-04-03T00:00:00Z,3757,139
2020-04-04T00:00:00Z,4077,161
2020-04-05T00:00:00Z,4369,179
2020-04-06T00:00:00Z,4681,187
2020-04-07T00:00:00Z,5071,203
2020-04-08T00:00:00Z,5402,218
2020-04-09T00:00:00Z,5635,237
