TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,1,0
2020-01-28T00:00:00Z,4,0
2020-01-29T00:00:00Z,4,0
2020-01-30T00:00:00Z,4,0
2020-01-31T00:00:00Z,5,0
2020-02-01T00:00:00Z,8,0
2020-02-02T00:00:00Z,10,0
2020-02-03T00:00:00Z,12,0
2020-02-04T00:00:00Z,12,0
2020-02-05T00:00:00Z,12,0
2020-02-06T00:00:00Z,12,0
2020-02-07T00:00:00Z,13,0
2020-02-08T00:00:00Z,13,0
2020-02-09T00:00:00Z,14,0
2020-02-10T00:00:00Z,14,0
2020-02-11T00:00:00Z,16,0
2020-02-12T00:00:00Z,16,0
2020-02-13T00:00:00Z,16,0
2020-02-14T00:00:00Z,16,0
2020-02-15T00:00:00Z,16,0
2020-02-16T00:00:00Z,16,0
2020-02-17T00:00:00Z,16,0
2020-02-18T00:00:00Z,16,0
2020-02-19T00:00:00Z,16,0
2020-02-20T00:00:00Z,16,0
2020-02-21T00:00:00Z,16,0
2020-02-22T00:00:00Z,16,0
2020-02-23T00:00:00Z,16,0
2020-02-24T00:00:00Z,16,0
2020-02-25T00:00:00Z,17,0
2020-02-26T00:00:00Z,27,0
2020-02-27T00:00:00Z,46,0
2020-02-28T00:00:00Z,48,0
2020-02-29T00:00:00Z,79,0
2020-03-01T00:00:00Z,130,0
2020-03-02T00:00:00Z,159,0
2020-03-03T00:00:00Z,196,0
2020-03-04T00:00:00Z,262,0
2020-03-05T00:00:00Z,482,0
2020-03-06T00:00:00Z,670,0
2020-03-07T00:00:00Z,799,0
2020-03-08T00:00:00Z,1040,0
2020-03-09T00:00:00Z,1176,2
2020-03-10T00:00:00Z,1457,2
2020-03-11T00:00:00Z,1908,3
2020-03-12T00:00:00Z,2078,3
2020-03-13T00:00:00Z,3675,7
2020-03-14T00:00:00Z,4585,9
2020-03-15T00:00:00Z,5795,11
2020-03-16T00:00:00Z,7272,17
2020-03-17T00:00:00Z,9257,24
2020-03-18T00:00:00Z,12327,28
2020-03-19T00:00:00Z,15320,44
2020-03-20T00:00:00Z,19848,67
2020-03-21T00:00:00Z,22213,84
2020-03-22T00:00:00Z,24873,94
2020-03-23T00:00:00Z,29056,123
2020-03-24T00:00:00Z,32986,157
2020-03-25T00:00:00Z,37323,206
2020-03-26T00:00:00Z,43938,267
2020-03-27T00:00:00Z,50871,342
2020-03-28T00:00:00Z,57695,433
2020-03-29T00:00:00Z,62095,533
2020-03-30T00:00:00Z,66885,645
2020-03-31T00:00:00Z,71808,775
2020-04-01T00:00:00Z,77872,920
2020-04-02T00:00:00Z,84794,1107
2020-04-03T00:00:00Z,91159,1275
2020-04-04T00:00:00Z,96092,1444
2020-04-05T00:00:00Z,100123,1584
2020-04-06T00:00:00Z,103374,1810
2020-04-07T00:00:00Z,107663,2016
2020-04-08T00:00:00Z,113296,2349
2020-04-09T00:00:00Z,118181,2607
