,TimeLine,Cases,Deaths
0,2020-01-22T00:00:00Z,0,0
1,2020-01-23T00:00:00Z,0,0
2,2020-01-24T00:00:00Z,0,0
3,2020-01-25T00:00:00Z,0,0
4,2020-01-26T00:00:00Z,0,0
5,2020-01-27T00:00:00Z,0,0
6,2020-01-28T00:00:00Z,0,0
7,2020-01-29T00:00:00Z,0,0
8,2020-01-30T00:00:00Z,1,0
9,2020-01-31T00:00:00Z,1,0
10,2020-02-01T00:00:00Z,1,0
11,2020-02-02T00:00:00Z,2,0
12,2020-02-03T00:00:00Z,3,0
13,2020-02-04T00:00:00Z,3,0
14,2020-02-05T00:00:00Z,3,0
15,2020-02-06T00:00:00Z,3,0
16,2020-02-07T00:00:00Z,3,0
17,2020-02-08T00:00:00Z,3,0
18,2020-02-09T00:00:00Z,3,0
19,2020-02-10T00:00:00Z,3,0
20,2020-02-11T00:00:00Z,3,0
21,2020-02-12T00:00:00Z,3,0
22,2020-02-13T00:00:00Z,3,0
23,2020-02-14T00:00:00Z,3,0
24,2020-02-15T00:00:00Z,3,0
25,2020-02-16T00:00:00Z,3,0
26,2020-02-17T00:00:00Z,3,0
27,2020-02-18T00:00:00Z,3,0
28,2020-02-19T00:00:00Z,3,0
29,2020-02-20T00:00:00Z,3,0
30,2020-02-21T00:00:00Z,3,0
31,2020-02-22T00:00:00Z,3,0
32,2020-02-23T00:00:00Z,3,0
33,2020-02-24T00:00:00Z,3,0
34,2020-02-25T00:00:00Z,3,0
35,2020-02-26T00:00:00Z,3,0
36,2020-02-27T00:00:00Z,3,0
37,2020-02-28T00:00:00Z,3,0
38,2020-02-29T00:00:00Z,3,0
39,2020-03-01T00:00:00Z,3,0
40,2020-03-02T00:00:00Z,5,0
41,2020-03-03T00:00:00Z,5,0
42,2020-03-04T00:00:00Z,28,0
43,2020-03-05T00:00:00Z,30,0
44,2020-03-06T00:00:00Z,31,0
45,2020-03-07T00:00:00Z,34,0
46,2020-03-08T00:00:00Z,39,0
47,2020-03-09T00:00:00Z,43,0
48,2020-03-10T00:00:00Z,56,0
49,2020-03-11T00:00:00Z,62,1
50,2020-03-12T00:00:00Z,73,1
51,2020-03-13T00:00:00Z,82,2
52,2020-03-14T00:00:00Z,102,2
53,2020-03-15T00:00:00Z,113,2
54,2020-03-16T00:00:00Z,119,2
55,2020-03-17T00:00:00Z,142,3
56,2020-03-18T00:00:00Z,156,3
57,2020-03-19T00:00:00Z,194,4
58,2020-03-20T00:00:00Z,244,5
59,2020-03-21T00:00:00Z,330,4
60,2020-03-22T00:00:00Z,396,7
61,2020-03-23T00:00:00Z,499,10
62,2020-03-24T00:00:00Z,536,10
63,2020-03-25T00:00:00Z,657,12
64,2020-03-26T00:00:00Z,727,20
65,2020-03-27T00:00:00Z,887,20
66,2020-03-28T00:00:00Z,987,24
67,2020-03-29T00:00:00Z,1024,27
68,2020-03-30T00:00:00Z,1251,32
69,2020-03-31T00:00:00Z,1397,35
70,2020-04-01T00:00:00Z,1998,58
71,2020-04-02T00:00:00Z,2543,72
72,2020-04-03T00:00:00Z,2567,72
73,2020-04-04T00:00:00Z,3082,86
74,2020-04-05T00:00:00Z,3588,99
75,2020-04-06T00:00:00Z,4778,136
76,2020-04-07T00:00:00Z,5311,150
77,2020-04-08T00:00:00Z,5916,178
78,2020-04-09T00:00:00Z,6725,226
