TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,1,0
2020-02-25T00:00:00Z,1,0
2020-02-26T00:00:00Z,5,0
2020-02-27T00:00:00Z,7,0
2020-02-28T00:00:00Z,7,0
2020-02-29T00:00:00Z,13,0
2020-03-01T00:00:00Z,19,0
2020-03-02T00:00:00Z,26,0
2020-03-03T00:00:00Z,32,0
2020-03-04T00:00:00Z,35,2
2020-03-05T00:00:00Z,35,2
2020-03-06T00:00:00Z,40,3
2020-03-07T00:00:00Z,54,4
2020-03-08T00:00:00Z,60,6
2020-03-09T00:00:00Z,60,6
2020-03-10T00:00:00Z,71,7
2020-03-11T00:00:00Z,71,7
2020-03-12T00:00:00Z,71,8
2020-03-13T00:00:00Z,101,9
2020-03-14T00:00:00Z,110,10
2020-03-15T00:00:00Z,116,10
2020-03-16T00:00:00Z,124,10
2020-03-17T00:00:00Z,154,11
2020-03-18T00:00:00Z,164,12
2020-03-19T00:00:00Z,192,13
2020-03-20T00:00:00Z,208,17
2020-03-21T00:00:00Z,214,17
2020-03-22T00:00:00Z,233,20
2020-03-23T00:00:00Z,266,23
2020-03-24T00:00:00Z,316,27
2020-03-25T00:00:00Z,346,29
2020-03-26T00:00:00Z,382,36
2020-03-27T00:00:00Z,458,40
2020-03-28T00:00:00Z,506,42
2020-03-29T00:00:00Z,547,42
2020-03-30T00:00:00Z,630,46
2020-03-31T00:00:00Z,694,50
2020-04-01T00:00:00Z,728,52
2020-04-02T00:00:00Z,772,54
2020-04-03T00:00:00Z,820,54
2020-04-04T00:00:00Z,878,56
2020-04-05T00:00:00Z,961,61
2020-04-06T00:00:00Z,1031,64
2020-04-07T00:00:00Z,1122,65
2020-04-08T00:00:00Z,1202,69
2020-04-09T00:00:00Z,1232,69
