TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,2,0
2020-02-26T00:00:00Z,2,0
2020-02-27T00:00:00Z,3,0
2020-02-28T00:00:00Z,3,0
2020-02-29T00:00:00Z,9,0
2020-03-01T00:00:00Z,14,0
2020-03-02T00:00:00Z,18,0
2020-03-03T00:00:00Z,21,0
2020-03-04T00:00:00Z,29,0
2020-03-05T00:00:00Z,41,0
2020-03-06T00:00:00Z,55,0
2020-03-07T00:00:00Z,79,0
2020-03-08T00:00:00Z,104,0
2020-03-09T00:00:00Z,131,0
2020-03-10T00:00:00Z,182,0
2020-03-11T00:00:00Z,246,0
2020-03-12T00:00:00Z,302,1
2020-03-13T00:00:00Z,504,1
2020-03-14T00:00:00Z,655,1
2020-03-15T00:00:00Z,860,1
2020-03-16T00:00:00Z,1018,3
2020-03-17T00:00:00Z,1332,3
2020-03-18T00:00:00Z,1646,4
2020-03-19T00:00:00Z,2013,6
2020-03-20T00:00:00Z,2388,6
2020-03-21T00:00:00Z,2814,8
2020-03-22T00:00:00Z,3582,16
2020-03-23T00:00:00Z,4474,21
2020-03-24T00:00:00Z,5283,28
2020-03-25T00:00:00Z,5588,30
2020-03-26T00:00:00Z,6909,49
2020-03-27T00:00:00Z,7657,58
2020-03-28T00:00:00Z,8271,68
2020-03-29T00:00:00Z,8788,86
2020-03-30T00:00:00Z,9618,108
2020-03-31T00:00:00Z,10180,128
2020-04-01T00:00:00Z,10711,146
2020-04-02T00:00:00Z,11129,158
2020-04-03T00:00:00Z,11524,168
2020-04-04T00:00:00Z,11781,186
2020-04-05T00:00:00Z,12051,204
2020-04-06T00:00:00Z,12297,220
2020-04-07T00:00:00Z,12639,243
2020-04-08T00:00:00Z,12942,273
2020-04-09T00:00:00Z,13244,295
2020-04-10T00:00:00Z,13555,319
2020-04-11T00:00:00Z,13806,337
2020-04-12T00:00:00Z,13945,350
2020-04-13T00:00:00Z,14041,368
2020-04-14T00:00:00Z,14226,384
2020-04-15T00:00:00Z,14336,393
