TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,1,0
2020-02-26T00:00:00Z,1,0
2020-02-27T00:00:00Z,1,0
2020-02-28T00:00:00Z,1,0
2020-02-29T00:00:00Z,1,0
2020-03-01T00:00:00Z,1,0
2020-03-02T00:00:00Z,3,0
2020-03-03T00:00:00Z,5,0
2020-03-04T00:00:00Z,12,0
2020-03-05T00:00:00Z,12,0
2020-03-06T00:00:00Z,17,0
2020-03-07T00:00:00Z,17,0
2020-03-08T00:00:00Z,19,0
2020-03-09T00:00:00Z,20,0
2020-03-10T00:00:00Z,20,0
2020-03-11T00:00:00Z,20,0
2020-03-12T00:00:00Z,24,1
2020-03-13T00:00:00Z,26,2
2020-03-14T00:00:00Z,37,3
2020-03-15T00:00:00Z,48,4
2020-03-16T00:00:00Z,54,4
2020-03-17T00:00:00Z,60,4
2020-03-18T00:00:00Z,74,7
2020-03-19T00:00:00Z,87,9
2020-03-20T00:00:00Z,90,11
2020-03-21T00:00:00Z,139,15
2020-03-22T00:00:00Z,201,17
2020-03-23T00:00:00Z,230,17
2020-03-24T00:00:00Z,264,19
2020-03-25T00:00:00Z,302,21
2020-03-26T00:00:00Z,367,25
2020-03-27T00:00:00Z,409,26
2020-03-28T00:00:00Z,454,29
2020-03-29T00:00:00Z,511,31
2020-03-30T00:00:00Z,584,35
2020-03-31T00:00:00Z,716,44
2020-04-01T00:00:00Z,847,58
2020-04-02T00:00:00Z,986,86
2020-04-03T00:00:00Z,1171,105
2020-04-04T00:00:00Z,1251,130
2020-04-05T00:00:00Z,1320,152
2020-04-06T00:00:00Z,1423,173
2020-04-07T00:00:00Z,1468,193
2020-04-08T00:00:00Z,1572,205
2020-04-09T00:00:00Z,1666,235
2020-04-10T00:00:00Z,1761,256
2020-04-11T00:00:00Z,1825,275
