TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,4,0
2020-01-27T00:00:00Z,5,0
2020-01-28T00:00:00Z,5,0
2020-01-29T00:00:00Z,6,0
2020-01-30T00:00:00Z,9,0
2020-01-31T00:00:00Z,9,0
2020-02-01T00:00:00Z,12,0
2020-02-02T00:00:00Z,12,0
2020-02-03T00:00:00Z,12,0
2020-02-04T00:00:00Z,13,0
2020-02-05T00:00:00Z,13,0
2020-02-06T00:00:00Z,14,0
2020-02-07T00:00:00Z,15,0
2020-02-08T00:00:00Z,15,0
2020-02-09T00:00:00Z,15,0
2020-02-10T00:00:00Z,15,0
2020-02-11T00:00:00Z,15,0
2020-02-12T00:00:00Z,15,0
2020-02-13T00:00:00Z,15,0
2020-02-14T00:00:00Z,15,0
2020-02-15T00:00:00Z,15,0
2020-02-16T00:00:00Z,15,0
2020-02-17T00:00:00Z,15,0
2020-02-18T00:00:00Z,15,0
2020-02-19T00:00:00Z,15,0
2020-02-20T00:00:00Z,15,0
2020-02-21T00:00:00Z,15,0
2020-02-22T00:00:00Z,15,0
2020-02-23T00:00:00Z,15,0
2020-02-24T00:00:00Z,15,0
2020-02-25T00:00:00Z,15,0
2020-02-26T00:00:00Z,15,0
2020-02-27T00:00:00Z,15,0
2020-02-28T00:00:00Z,15,0
2020-02-29T00:00:00Z,25,0
2020-03-01T00:00:00Z,27,1
2020-03-02T00:00:00Z,30,1
2020-03-03T00:00:00Z,39,1
2020-03-04T00:00:00Z,52,2
2020-03-05T00:00:00Z,55,2
2020-03-06T00:00:00Z,60,2
2020-03-07T00:00:00Z,63,2
2020-03-08T00:00:00Z,76,3
2020-03-09T00:00:00Z,91,3
2020-03-10T00:00:00Z,107,3
2020-03-11T00:00:00Z,128,3
2020-03-12T00:00:00Z,128,3
2020-03-13T00:00:00Z,200,3
2020-03-14T00:00:00Z,250,3
2020-03-15T00:00:00Z,297,3
2020-03-16T00:00:00Z,377,3
2020-03-17T00:00:00Z,452,5
2020-03-18T00:00:00Z,568,6
2020-03-19T00:00:00Z,681,6
2020-03-20T00:00:00Z,791,7
2020-03-21T00:00:00Z,1071,7
2020-03-22T00:00:00Z,1549,7
2020-03-23T00:00:00Z,1682,7
2020-03-24T00:00:00Z,2044,8
2020-03-25T00:00:00Z,2364,8
2020-03-26T00:00:00Z,2810,13
2020-03-27T00:00:00Z,3143,13
2020-03-28T00:00:00Z,3640,14
2020-03-29T00:00:00Z,3984,16
2020-03-30T00:00:00Z,4361,17
2020-03-31T00:00:00Z,4559,18
2020-04-01T00:00:00Z,4862,20
2020-04-02T00:00:00Z,5116,24
2020-04-03T00:00:00Z,5330,28
2020-04-04T00:00:00Z,5550,30
2020-04-05T00:00:00Z,5687,35
2020-04-06T00:00:00Z,5797,40
2020-04-07T00:00:00Z,5895,45
2020-04-08T00:00:00Z,6010,50
2020-04-09T00:00:00Z,6108,51
2020-04-10T00:00:00Z,6215,54
2020-04-11T00:00:00Z,6303,57
