TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,1,0
2020-02-25T00:00:00Z,23,0
2020-02-26T00:00:00Z,33,0
2020-02-27T00:00:00Z,33,0
2020-02-28T00:00:00Z,36,0
2020-02-29T00:00:00Z,41,0
2020-03-01T00:00:00Z,47,0
2020-03-02T00:00:00Z,49,0
2020-03-03T00:00:00Z,49,0
2020-03-04T00:00:00Z,52,0
2020-03-05T00:00:00Z,55,0
2020-03-06T00:00:00Z,60,0
2020-03-07T00:00:00Z,85,0
2020-03-08T00:00:00Z,85,0
2020-03-09T00:00:00Z,95,0
2020-03-10T00:00:00Z,110,0
2020-03-11T00:00:00Z,195,0
2020-03-12T00:00:00Z,195,0
2020-03-13T00:00:00Z,195,0
2020-03-14T00:00:00Z,210,0
2020-03-15T00:00:00Z,214,0
2020-03-16T00:00:00Z,214,1
2020-03-17T00:00:00Z,228,1
2020-03-18T00:00:00Z,256,1
2020-03-19T00:00:00Z,278,1
2020-03-20T00:00:00Z,285,1
2020-03-21T00:00:00Z,305,1
2020-03-22T00:00:00Z,334,2
2020-03-23T00:00:00Z,377,2
2020-03-24T00:00:00Z,392,3
2020-03-25T00:00:00Z,419,4
2020-03-26T00:00:00Z,458,4
2020-03-27T00:00:00Z,466,4
2020-03-28T00:00:00Z,476,4
2020-03-29T00:00:00Z,499,4
2020-03-30T00:00:00Z,515,4
2020-03-31T00:00:00Z,567,4
2020-04-01T00:00:00Z,569,4
2020-04-02T00:00:00Z,643,4
2020-04-03T00:00:00Z,672,4
2020-04-04T00:00:00Z,688,4
2020-04-05T00:00:00Z,700,4
2020-04-06T00:00:00Z,756,4
2020-04-07T00:00:00Z,811,5
2020-04-08T00:00:00Z,823,5
2020-04-09T00:00:00Z,887,5
2020-04-10T00:00:00Z,925,6
2020-04-11T00:00:00Z,1040,6
2020-04-12T00:00:00Z,1136,6
2020-04-13T00:00:00Z,1361,6
2020-04-14T00:00:00Z,1528,7
2020-04-15T00:00:00Z,1671,7
