TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,1,0
2020-02-05T00:00:00Z,1,0
2020-02-06T00:00:00Z,1,0
2020-02-07T00:00:00Z,1,0
2020-02-08T00:00:00Z,1,0
2020-02-09T00:00:00Z,1,0
2020-02-10T00:00:00Z,1,0
2020-02-11T00:00:00Z,1,0
2020-02-12T00:00:00Z,1,0
2020-02-13T00:00:00Z,1,0
2020-02-14T00:00:00Z,1,0
2020-02-15T00:00:00Z,1,0
2020-02-16T00:00:00Z,1,0
2020-02-17T00:00:00Z,1,0
2020-02-18T00:00:00Z,1,0
2020-02-19T00:00:00Z,1,0
2020-02-20T00:00:00Z,1,0
2020-02-21T00:00:00Z,1,0
2020-02-22T00:00:00Z,1,0
2020-02-23T00:00:00Z,1,0
2020-02-24T00:00:00Z,1,0
2020-02-25T00:00:00Z,1,0
2020-02-26T00:00:00Z,1,0
2020-02-27T00:00:00Z,1,0
2020-02-28T00:00:00Z,1,0
2020-02-29T00:00:00Z,1,0
2020-03-01T00:00:00Z,2,0
2020-03-02T00:00:00Z,8,0
2020-03-03T00:00:00Z,13,0
2020-03-04T00:00:00Z,23,0
2020-03-05T00:00:00Z,50,0
2020-03-06T00:00:00Z,109,0
2020-03-07T00:00:00Z,169,0
2020-03-08T00:00:00Z,200,0
2020-03-09T00:00:00Z,239,0
2020-03-10T00:00:00Z,267,0
2020-03-11T00:00:00Z,314,3
2020-03-12T00:00:00Z,314,3
2020-03-13T00:00:00Z,559,3
2020-03-14T00:00:00Z,689,4
2020-03-15T00:00:00Z,886,4
2020-03-16T00:00:00Z,1058,5
2020-03-17T00:00:00Z,1243,10
2020-03-18T00:00:00Z,1486,14
2020-03-19T00:00:00Z,1795,21
2020-03-20T00:00:00Z,2257,37
2020-03-21T00:00:00Z,2815,67
2020-03-22T00:00:00Z,3401,75
2020-03-23T00:00:00Z,3743,88
2020-03-24T00:00:00Z,4269,122
2020-03-25T00:00:00Z,4937,178
2020-03-26T00:00:00Z,6235,220
2020-03-27T00:00:00Z,7284,289
2020-03-28T00:00:00Z,9134,353
2020-03-29T00:00:00Z,10836,431
2020-03-30T00:00:00Z,11899,513
2020-03-31T00:00:00Z,12775,705
2020-04-01T00:00:00Z,13964,828
2020-04-02T00:00:00Z,15348,1011
2020-04-03T00:00:00Z,16770,1143
2020-04-04T00:00:00Z,18431,1283
2020-04-05T00:00:00Z,19691,1447
2020-04-06T00:00:00Z,20814,1632
2020-04-07T00:00:00Z,22194,2035
2020-04-08T00:00:00Z,23403,2240
2020-04-09T00:00:00Z,24983,2523
2020-04-10T00:00:00Z,26667,3019
2020-04-11T00:00:00Z,28018,3346
