TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,0,0
2020-02-26T00:00:00Z,0,0
2020-02-27T00:00:00Z,0,0
2020-02-28T00:00:00Z,0,0
2020-02-29T00:00:00Z,0,0
2020-03-01T00:00:00Z,0,0
2020-03-02T00:00:00Z,0,0
2020-03-03T00:00:00Z,0,0
2020-03-04T00:00:00Z,0,0
2020-03-05T00:00:00Z,0,0
2020-03-06T00:00:00Z,0,0
2020-03-07T00:00:00Z,0,0
2020-03-08T00:00:00Z,0,0
2020-03-09T00:00:00Z,0,0
2020-03-10T00:00:00Z,1,0
2020-03-11T00:00:00Z,2,0
2020-03-12T00:00:00Z,2,0
2020-03-13T00:00:00Z,2,0
2020-03-14T00:00:00Z,2,0
2020-03-15T00:00:00Z,3,0
2020-03-16T00:00:00Z,15,0
2020-03-17T00:00:00Z,15,0
2020-03-18T00:00:00Z,20,1
2020-03-19T00:00:00Z,33,1
2020-03-20T00:00:00Z,40,1
2020-03-21T00:00:00Z,64,2
2020-03-22T00:00:00Z,75,4
2020-03-23T00:00:00Z,99,4
2020-03-24T00:00:00Z,114,4
2020-03-25T00:00:00Z,146,4
2020-03-26T00:00:00Z,152,7
2020-03-27T00:00:00Z,180,9
2020-03-28T00:00:00Z,207,11
2020-03-29T00:00:00Z,222,12
2020-03-30T00:00:00Z,246,12
2020-03-31T00:00:00Z,261,14
2020-04-01T00:00:00Z,282,16
2020-04-02T00:00:00Z,288,16
2020-04-03T00:00:00Z,302,16
2020-04-04T00:00:00Z,318,16
2020-04-05T00:00:00Z,345,17
2020-04-06T00:00:00Z,364,18
2020-04-07T00:00:00Z,384,19
2020-04-08T00:00:00Z,414,23
2020-04-09T00:00:00Z,443,24
2020-04-10T00:00:00Z,443,24
2020-04-11T00:00:00Z,484,27
