TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,1,0
2020-02-26T00:00:00Z,1,0
2020-02-27T00:00:00Z,8,0
2020-02-28T00:00:00Z,8,0
2020-02-29T00:00:00Z,18,0
2020-03-01T00:00:00Z,27,0
2020-03-02T00:00:00Z,42,0
2020-03-03T00:00:00Z,56,0
2020-03-04T00:00:00Z,90,0
2020-03-05T00:00:00Z,114,1
2020-03-06T00:00:00Z,214,1
2020-03-07T00:00:00Z,268,1
2020-03-08T00:00:00Z,337,2
2020-03-09T00:00:00Z,374,2
2020-03-10T00:00:00Z,491,3
2020-03-11T00:00:00Z,652,4
2020-03-12T00:00:00Z,652,4
2020-03-13T00:00:00Z,1139,11
2020-03-14T00:00:00Z,1359,13
2020-03-15T00:00:00Z,2200,14
2020-03-16T00:00:00Z,2200,14
2020-03-17T00:00:00Z,2700,27
2020-03-18T00:00:00Z,3028,28
2020-03-19T00:00:00Z,4075,41
2020-03-20T00:00:00Z,5294,54
2020-03-21T00:00:00Z,6575,75
2020-03-22T00:00:00Z,7474,98
2020-03-23T00:00:00Z,8795,120
2020-03-24T00:00:00Z,9877,122
2020-03-25T00:00:00Z,10897,153
2020-03-26T00:00:00Z,11811,191
2020-03-27T00:00:00Z,12928,231
2020-03-28T00:00:00Z,14076,264
2020-03-29T00:00:00Z,14829,300
2020-03-30T00:00:00Z,15922,359
2020-03-31T00:00:00Z,16605,433
2020-04-01T00:00:00Z,17768,488
2020-04-02T00:00:00Z,18827,536
2020-04-03T00:00:00Z,19606,591
2020-04-04T00:00:00Z,20505,666
2020-04-05T00:00:00Z,21100,715
2020-04-06T00:00:00Z,21657,765
2020-04-07T00:00:00Z,22253,821
2020-04-08T00:00:00Z,23280,895
2020-04-09T00:00:00Z,24051,948
2020-04-10T00:00:00Z,24551,1002
2020-04-11T00:00:00Z,25107,1036
2020-04-12T00:00:00Z,25415,1106
2020-04-13T00:00:00Z,25688,1138
2020-04-14T00:00:00Z,25936,1174
2020-04-15T00:00:00Z,26336,1239
