TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,1,0
2020-01-27T00:00:00Z,1,0
2020-01-28T00:00:00Z,2,0
2020-01-29T00:00:00Z,2,0
2020-01-30T00:00:00Z,2,0
2020-01-31T00:00:00Z,4,0
2020-02-01T00:00:00Z,4,0
2020-02-02T00:00:00Z,4,0
2020-02-03T00:00:00Z,4,0
2020-02-04T00:00:00Z,4,0
2020-02-05T00:00:00Z,5,0
2020-02-06T00:00:00Z,5,0
2020-02-07T00:00:00Z,7,0
2020-02-08T00:00:00Z,7,0
2020-02-09T00:00:00Z,7,0
2020-02-10T00:00:00Z,7,0
2020-02-11T00:00:00Z,7,0
2020-02-12T00:00:00Z,7,0
2020-02-13T00:00:00Z,7,0
2020-02-14T00:00:00Z,7,0
2020-02-15T00:00:00Z,7,0
2020-02-16T00:00:00Z,7,0
2020-02-17T00:00:00Z,8,0
2020-02-18T00:00:00Z,8,0
2020-02-19T00:00:00Z,8,0
2020-02-20T00:00:00Z,8,0
2020-02-21T00:00:00Z,9,0
2020-02-22T00:00:00Z,9,0
2020-02-23T00:00:00Z,9,0
2020-02-24T00:00:00Z,10,0
2020-02-25T00:00:00Z,11,0
2020-02-26T00:00:00Z,11,0
2020-02-27T00:00:00Z,13,0
2020-02-28T00:00:00Z,14,0
2020-02-29T00:00:00Z,20,0
2020-03-01T00:00:00Z,24,0
2020-03-02T00:00:00Z,27,0
2020-03-03T00:00:00Z,30,0
2020-03-04T00:00:00Z,33,0
2020-03-05T00:00:00Z,37,0
2020-03-06T00:00:00Z,49,0
2020-03-07T00:00:00Z,54,0
2020-03-08T00:00:00Z,64,0
2020-03-09T00:00:00Z,77,1
2020-03-10T00:00:00Z,79,1
2020-03-11T00:00:00Z,108,1
2020-03-12T00:00:00Z,117,1
2020-03-13T00:00:00Z,193,1
2020-03-14T00:00:00Z,198,1
2020-03-15T00:00:00Z,252,1
2020-03-16T00:00:00Z,415,4
2020-03-17T00:00:00Z,478,5
2020-03-18T00:00:00Z,657,8
2020-03-19T00:00:00Z,800,9
2020-03-20T00:00:00Z,943,12
2020-03-21T00:00:00Z,1277,19
2020-03-22T00:00:00Z,1469,21
2020-03-23T00:00:00Z,2088,25
2020-03-24T00:00:00Z,2790,26
2020-03-25T00:00:00Z,3251,30
2020-03-26T00:00:00Z,4042,38
2020-03-27T00:00:00Z,4682,54
2020-03-28T00:00:00Z,5576,61
2020-03-29T00:00:00Z,6280,64
2020-03-30T00:00:00Z,7398,80
2020-03-31T00:00:00Z,8527,101
2020-04-01T00:00:00Z,9560,109
2020-04-02T00:00:00Z,11284,139
2020-04-03T00:00:00Z,12437,179
2020-04-04T00:00:00Z,12978,218
2020-04-05T00:00:00Z,15756,259
2020-04-06T00:00:00Z,16563,339
2020-04-07T00:00:00Z,17872,375
2020-04-08T00:00:00Z,19141,407
2020-04-09T00:00:00Z,20654,503
