TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,548,17
2020-01-23T00:00:00Z,643,18
2020-01-24T00:00:00Z,920,26
2020-01-25T00:00:00Z,1406,42
2020-01-26T00:00:00Z,2075,56
2020-01-27T00:00:00Z,2877,82
2020-01-28T00:00:00Z,5509,131
2020-01-29T00:00:00Z,6087,133
2020-01-30T00:00:00Z,8141,171
2020-01-31T00:00:00Z,9802,213
2020-02-01T00:00:00Z,11891,259
2020-02-02T00:00:00Z,16630,361
2020-02-03T00:00:00Z,19716,425
2020-02-04T00:00:00Z,23707,491
2020-02-05T00:00:00Z,27440,563
2020-02-06T00:00:00Z,30587,633
2020-02-07T00:00:00Z,34110,718
2020-02-08T00:00:00Z,36814,805
2020-02-09T00:00:00Z,39829,905
2020-02-10T00:00:00Z,42354,1012
2020-02-11T00:00:00Z,44386,1112
2020-02-12T00:00:00Z,44759,1117
2020-02-13T00:00:00Z,59895,1369
2020-02-14T00:00:00Z,66358,1521
2020-02-15T00:00:00Z,68413,1663
2020-02-16T00:00:00Z,70513,1766
2020-02-17T00:00:00Z,72434,1864
2020-02-18T00:00:00Z,74211,2003
2020-02-19T00:00:00Z,74619,2116
2020-02-20T00:00:00Z,75077,2238
2020-02-21T00:00:00Z,75550,2238
2020-02-22T00:00:00Z,77001,2443
2020-02-23T00:00:00Z,77022,2445
2020-02-24T00:00:00Z,77241,2595
2020-02-25T00:00:00Z,77754,2665
2020-02-26T00:00:00Z,78166,2717
2020-02-27T00:00:00Z,78600,2746
2020-02-28T00:00:00Z,78928,2790
2020-02-29T00:00:00Z,79356,2837
2020-03-01T00:00:00Z,79932,2872
2020-03-02T00:00:00Z,80136,2914
2020-03-03T00:00:00Z,80261,2947
2020-03-04T00:00:00Z,80386,2983
2020-03-05T00:00:00Z,80537,3015
2020-03-06T00:00:00Z,80690,3044
2020-03-07T00:00:00Z,80770,3072
2020-03-08T00:00:00Z,80823,3100
2020-03-09T00:00:00Z,80860,3123
2020-03-10T00:00:00Z,80887,3139
2020-03-11T00:00:00Z,80921,3161
2020-03-12T00:00:00Z,80932,3172
2020-03-13T00:00:00Z,80945,3180
2020-03-14T00:00:00Z,80977,3193
2020-03-15T00:00:00Z,81003,3203
2020-03-16T00:00:00Z,81033,3217
2020-03-17T00:00:00Z,81058,3230
2020-03-18T00:00:00Z,81102,3241
2020-03-19T00:00:00Z,81156,3249
2020-03-20T00:00:00Z,81250,3253
2020-03-21T00:00:00Z,81305,3259
2020-03-22T00:00:00Z,81435,3274
2020-03-23T00:00:00Z,81498,3274
2020-03-24T00:00:00Z,81591,3281
2020-03-25T00:00:00Z,81661,3285
2020-03-26T00:00:00Z,81782,3291
2020-03-27T00:00:00Z,81897,3296
2020-03-28T00:00:00Z,81999,3299
2020-03-29T00:00:00Z,82122,3304
2020-03-30T00:00:00Z,82198,3308
2020-03-31T00:00:00Z,82279,3309
2020-04-01T00:00:00Z,82361,3316
2020-04-02T00:00:00Z,82432,3322
2020-04-03T00:00:00Z,82511,3326
2020-04-04T00:00:00Z,82543,3330
2020-04-05T00:00:00Z,82602,3333
2020-04-06T00:00:00Z,82665,3335
2020-04-07T00:00:00Z,82718,3335
2020-04-08T00:00:00Z,82809,3337
2020-04-09T00:00:00Z,82883,3339
