TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,1,0
2020-01-30T00:00:00Z,1,0
2020-01-31T00:00:00Z,1,0
2020-02-01T00:00:00Z,1,0
2020-02-02T00:00:00Z,1,0
2020-02-03T00:00:00Z,1,0
2020-02-04T00:00:00Z,1,0
2020-02-05T00:00:00Z,1,0
2020-02-06T00:00:00Z,1,0
2020-02-07T00:00:00Z,1,0
2020-02-08T00:00:00Z,1,0
2020-02-09T00:00:00Z,1,0
2020-02-10T00:00:00Z,1,0
2020-02-11T00:00:00Z,1,0
2020-02-12T00:00:00Z,1,0
2020-02-13T00:00:00Z,1,0
2020-02-14T00:00:00Z,1,0
2020-02-15T00:00:00Z,1,0
2020-02-16T00:00:00Z,1,0
2020-02-17T00:00:00Z,1,0
2020-02-18T00:00:00Z,1,0
2020-02-19T00:00:00Z,1,0
2020-02-20T00:00:00Z,1,0
2020-02-21T00:00:00Z,1,0
2020-02-22T00:00:00Z,1,0
2020-02-23T00:00:00Z,1,0
2020-02-24T00:00:00Z,1,0
2020-02-25T00:00:00Z,1,0
2020-02-26T00:00:00Z,2,0
2020-02-27T00:00:00Z,2,0
2020-02-28T00:00:00Z,2,0
2020-02-29T00:00:00Z,3,0
2020-03-01T00:00:00Z,6,0
2020-03-02T00:00:00Z,6,0
2020-03-03T00:00:00Z,6,0
2020-03-04T00:00:00Z,6,0
2020-03-05T00:00:00Z,12,0
2020-03-06T00:00:00Z,15,0
2020-03-07T00:00:00Z,15,0
2020-03-08T00:00:00Z,23,0
2020-03-09T00:00:00Z,30,0
2020-03-10T00:00:00Z,40,0
2020-03-11T00:00:00Z,59,0
2020-03-12T00:00:00Z,59,0
2020-03-13T00:00:00Z,155,0
2020-03-14T00:00:00Z,225,0
2020-03-15T00:00:00Z,244,0
2020-03-16T00:00:00Z,277,0
2020-03-17T00:00:00Z,321,0
2020-03-18T00:00:00Z,336,0
2020-03-19T00:00:00Z,400,0
2020-03-20T00:00:00Z,450,0
2020-03-21T00:00:00Z,523,1
2020-03-22T00:00:00Z,626,1
2020-03-23T00:00:00Z,700,1
2020-03-24T00:00:00Z,792,1
2020-03-25T00:00:00Z,880,3
2020-03-26T00:00:00Z,958,5
2020-03-27T00:00:00Z,1041,7
2020-03-28T00:00:00Z,1167,9
2020-03-29T00:00:00Z,1240,11
2020-03-30T00:00:00Z,1352,13
2020-03-31T00:00:00Z,1418,17
2020-04-01T00:00:00Z,1446,17
2020-04-02T00:00:00Z,1518,19
2020-04-03T00:00:00Z,1615,20
2020-04-04T00:00:00Z,1882,25
2020-04-05T00:00:00Z,1927,28
2020-04-06T00:00:00Z,2176,27
2020-04-07T00:00:00Z,2308,34
2020-04-08T00:00:00Z,2487,40
2020-04-09T00:00:00Z,2605,42
