TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,0,0
2020-02-26T00:00:00Z,0,0
2020-02-27T00:00:00Z,0,0
2020-02-28T00:00:00Z,0,0
2020-02-29T00:00:00Z,1,0
2020-03-01T00:00:00Z,1,0
2020-03-02T00:00:00Z,1,0
2020-03-03T00:00:00Z,2,0
2020-03-04T00:00:00Z,6,0
2020-03-05T00:00:00Z,6,0
2020-03-06T00:00:00Z,18,0
2020-03-07T00:00:00Z,18,0
2020-03-08T00:00:00Z,19,0
2020-03-09T00:00:00Z,21,0
2020-03-10T00:00:00Z,34,0
2020-03-11T00:00:00Z,43,1
2020-03-12T00:00:00Z,43,1
2020-03-13T00:00:00Z,90,1
2020-03-14T00:00:00Z,129,2
2020-03-15T00:00:00Z,129,2
2020-03-16T00:00:00Z,169,2
2020-03-17T00:00:00Z,223,2
2020-03-18T00:00:00Z,292,2
2020-03-19T00:00:00Z,557,3
2020-03-20T00:00:00Z,683,3
2020-03-21T00:00:00Z,785,3
2020-03-22T00:00:00Z,906,4
2020-03-23T00:00:00Z,1125,6
2020-03-24T00:00:00Z,1329,7
2020-03-25T00:00:00Z,1564,9
2020-03-26T00:00:00Z,1819,19
2020-03-27T00:00:00Z,2121,22
2020-03-28T00:00:00Z,2415,36
2020-03-29T00:00:00Z,2615,46
2020-03-30T00:00:00Z,2910,54
2020-03-31T00:00:00Z,3235,71
2020-04-01T00:00:00Z,3447,85
2020-04-02T00:00:00Z,3849,98
2020-04-03T00:00:00Z,4273,120
2020-04-04T00:00:00Z,4604,137
2020-04-05T00:00:00Z,4994,158
2020-04-06T00:00:00Z,5364,174
2020-04-07T00:00:00Z,5709,210
2020-04-08T00:00:00Z,6074,235
2020-04-09T00:00:00Z,6574,263
2020-04-10T00:00:00Z,8089,287
2020-04-11T00:00:00Z,8928,320
2020-04-12T00:00:00Z,9655,334
2020-04-13T00:00:00Z,10647,365
2020-04-14T00:00:00Z,11479,406
2020-04-15T00:00:00Z,12547,444
