TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,1,0
2020-02-22T00:00:00Z,1,0
2020-02-23T00:00:00Z,1,0
2020-02-24T00:00:00Z,1,0
2020-02-25T00:00:00Z,1,0
2020-02-26T00:00:00Z,2,0
2020-02-27T00:00:00Z,3,0
2020-02-28T00:00:00Z,4,0
2020-02-29T00:00:00Z,7,0
2020-03-01T00:00:00Z,10,0
2020-03-02T00:00:00Z,10,0
2020-03-03T00:00:00Z,12,0
2020-03-04T00:00:00Z,15,0
2020-03-05T00:00:00Z,20,0
2020-03-06T00:00:00Z,37,0
2020-03-07T00:00:00Z,43,0
2020-03-08T00:00:00Z,61,0
2020-03-09T00:00:00Z,61,0
2020-03-10T00:00:00Z,75,0
2020-03-11T00:00:00Z,79,0
2020-03-12T00:00:00Z,100,0
2020-03-13T00:00:00Z,126,0
2020-03-14T00:00:00Z,155,0
2020-03-15T00:00:00Z,213,0
2020-03-16T00:00:00Z,218,0
2020-03-17T00:00:00Z,250,0
2020-03-18T00:00:00Z,304,0
2020-03-19T00:00:00Z,427,0
2020-03-20T00:00:00Z,529,0
2020-03-21T00:00:00Z,712,1
2020-03-22T00:00:00Z,883,1
2020-03-23T00:00:00Z,1071,1
2020-03-24T00:00:00Z,1238,3
2020-03-25T00:00:00Z,2369,5
2020-03-26T00:00:00Z,2693,8
2020-03-27T00:00:00Z,3035,12
2020-03-28T00:00:00Z,3619,12
2020-03-29T00:00:00Z,4247,15
2020-03-30T00:00:00Z,4695,16
2020-03-31T00:00:00Z,5358,20
2020-04-01T00:00:00Z,6092,26
2020-04-02T00:00:00Z,6857,36
2020-04-03T00:00:00Z,7428,40
2020-04-04T00:00:00Z,7851,44
2020-04-05T00:00:00Z,8430,49
2020-04-06T00:00:00Z,8904,57
2020-04-07T00:00:00Z,9248,65
2020-04-08T00:00:00Z,9404,73
2020-04-09T00:00:00Z,9968,86
2020-04-10T00:00:00Z,10408,95
2020-04-11T00:00:00Z,10743,101
2020-04-12T00:00:00Z,11145,103
2020-04-13T00:00:00Z,11586,116
2020-04-14T00:00:00Z,12046,123
2020-04-15T00:00:00Z,12501,130
