TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,1,0
2020-01-31T00:00:00Z,1,0
2020-02-01T00:00:00Z,1,0
2020-02-02T00:00:00Z,2,0
2020-02-03T00:00:00Z,3,0
2020-02-04T00:00:00Z,3,0
2020-02-05T00:00:00Z,3,0
2020-02-06T00:00:00Z,3,0
2020-02-07T00:00:00Z,3,0
2020-02-08T00:00:00Z,3,0
2020-02-09T00:00:00Z,3,0
2020-02-10T00:00:00Z,3,0
2020-02-11T00:00:00Z,3,0
2020-02-12T00:00:00Z,3,0
2020-02-13T00:00:00Z,3,0
2020-02-14T00:00:00Z,3,0
2020-02-15T00:00:00Z,3,0
2020-02-16T00:00:00Z,3,0
2020-02-17T00:00:00Z,3,0
2020-02-18T00:00:00Z,3,0
2020-02-19T00:00:00Z,3,0
2020-02-20T00:00:00Z,3,0
2020-02-21T00:00:00Z,3,0
2020-02-22T00:00:00Z,3,0
2020-02-23T00:00:00Z,3,0
2020-02-24T00:00:00Z,3,0
2020-02-25T00:00:00Z,3,0
2020-02-26T00:00:00Z,3,0
2020-02-27T00:00:00Z,3,0
2020-02-28T00:00:00Z,3,0
2020-02-29T00:00:00Z,3,0
2020-03-01T00:00:00Z,3,0
2020-03-02T00:00:00Z,5,0
2020-03-03T00:00:00Z,5,0
2020-03-04T00:00:00Z,28,0
2020-03-05T00:00:00Z,30,0
2020-03-06T00:00:00Z,31,0
2020-03-07T00:00:00Z,34,0
2020-03-08T00:00:00Z,39,0
2020-03-09T00:00:00Z,43,0
2020-03-10T00:00:00Z,56,0
2020-03-11T00:00:00Z,62,1
2020-03-12T00:00:00Z,73,1
2020-03-13T00:00:00Z,82,2
2020-03-14T00:00:00Z,102,2
2020-03-15T00:00:00Z,113,2
2020-03-16T00:00:00Z,119,2
2020-03-17T00:00:00Z,142,3
2020-03-18T00:00:00Z,156,3
2020-03-19T00:00:00Z,194,4
2020-03-20T00:00:00Z,244,5
2020-03-21T00:00:00Z,330,4
2020-03-22T00:00:00Z,396,7
2020-03-23T00:00:00Z,499,10
2020-03-24T00:00:00Z,536,10
2020-03-25T00:00:00Z,657,12
2020-03-26T00:00:00Z,727,20
2020-03-27T00:00:00Z,887,20
2020-03-28T00:00:00Z,987,24
2020-03-29T00:00:00Z,1024,27
2020-03-30T00:00:00Z,1251,32
2020-03-31T00:00:00Z,1397,35
2020-04-01T00:00:00Z,1998,58
2020-04-02T00:00:00Z,2543,72
2020-04-03T00:00:00Z,2567,72
2020-04-04T00:00:00Z,3082,86
2020-04-05T00:00:00Z,3588,99
2020-04-06T00:00:00Z,4778,136
2020-04-07T00:00:00Z,5311,150
2020-04-08T00:00:00Z,5916,178
2020-04-09T00:00:00Z,6725,226
2020-04-10T00:00:00Z,7598,246
2020-04-11T00:00:00Z,8446,288
2020-04-12T00:00:00Z,9205,331
2020-04-13T00:00:00Z,10453,358
2020-04-14T00:00:00Z,11487,393
2020-04-15T00:00:00Z,12322,405
