TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,2,0
2020-02-01T00:00:00Z,2,0
2020-02-02T00:00:00Z,2,0
2020-02-03T00:00:00Z,2,0
2020-02-04T00:00:00Z,2,0
2020-02-05T00:00:00Z,2,0
2020-02-06T00:00:00Z,2,0
2020-02-07T00:00:00Z,3,0
2020-02-08T00:00:00Z,3,0
2020-02-09T00:00:00Z,3,0
2020-02-10T00:00:00Z,3,0
2020-02-11T00:00:00Z,3,0
2020-02-12T00:00:00Z,3,0
2020-02-13T00:00:00Z,3,0
2020-02-14T00:00:00Z,3,0
2020-02-15T00:00:00Z,3,0
2020-02-16T00:00:00Z,3,0
2020-02-17T00:00:00Z,3,0
2020-02-18T00:00:00Z,3,0
2020-02-19T00:00:00Z,3,0
2020-02-20T00:00:00Z,3,0
2020-02-21T00:00:00Z,20,1
2020-02-22T00:00:00Z,62,2
2020-02-23T00:00:00Z,155,3
2020-02-24T00:00:00Z,229,7
2020-02-25T00:00:00Z,322,10
2020-02-26T00:00:00Z,453,12
2020-02-27T00:00:00Z,655,17
2020-02-28T00:00:00Z,888,21
2020-02-29T00:00:00Z,1128,29
2020-03-01T00:00:00Z,1694,34
2020-03-02T00:00:00Z,2036,52
2020-03-03T00:00:00Z,2502,79
2020-03-04T00:00:00Z,3089,107
2020-03-05T00:00:00Z,3858,148
2020-03-06T00:00:00Z,4636,197
2020-03-07T00:00:00Z,5883,233
2020-03-08T00:00:00Z,7375,366
2020-03-09T00:00:00Z,9172,463
2020-03-10T00:00:00Z,10149,631
2020-03-11T00:00:00Z,12462,827
2020-03-12T00:00:00Z,12462,827
2020-03-13T00:00:00Z,17660,1266
2020-03-14T00:00:00Z,21157,1441
2020-03-15T00:00:00Z,24747,1809
2020-03-16T00:00:00Z,27980,2158
2020-03-17T00:00:00Z,31506,2503
2020-03-18T00:00:00Z,35713,2978
2020-03-19T00:00:00Z,41035,3405
2020-03-20T00:00:00Z,47021,4032
2020-03-21T00:00:00Z,53578,4825
2020-03-22T00:00:00Z,59138,5476
2020-03-23T00:00:00Z,63927,6077
2020-03-24T00:00:00Z,69176,6820
2020-03-25T00:00:00Z,74386,7503
2020-03-26T00:00:00Z,80589,8215
2020-03-27T00:00:00Z,86498,9134
2020-03-28T00:00:00Z,92472,10023
2020-03-29T00:00:00Z,97689,10779
2020-03-30T00:00:00Z,101739,11591
2020-03-31T00:00:00Z,105792,12428
2020-04-01T00:00:00Z,110574,13155
2020-04-02T00:00:00Z,115242,13915
2020-04-03T00:00:00Z,119827,14681
2020-04-04T00:00:00Z,124632,15362
2020-04-05T00:00:00Z,128948,15887
2020-04-06T00:00:00Z,132547,16523
2020-04-07T00:00:00Z,135586,17127
2020-04-08T00:00:00Z,139422,17669
2020-04-09T00:00:00Z,143626,18279
2020-04-10T00:00:00Z,147577,18849
2020-04-11T00:00:00Z,152271,19468
2020-04-12T00:00:00Z,156363,19899
2020-04-13T00:00:00Z,159516,20465
2020-04-14T00:00:00Z,162488,21067
2020-04-15T00:00:00Z,165155,21645
