TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,0,0
2020-02-26T00:00:00Z,0,0
2020-02-27T00:00:00Z,0,0
2020-02-28T00:00:00Z,0,0
2020-02-29T00:00:00Z,0,0
2020-03-01T00:00:00Z,0,0
2020-03-02T00:00:00Z,2,0
2020-03-03T00:00:00Z,2,0
2020-03-04T00:00:00Z,2,0
2020-03-05T00:00:00Z,2,0
2020-03-06T00:00:00Z,4,0
2020-03-07T00:00:00Z,4,0
2020-03-08T00:00:00Z,6,0
2020-03-09T00:00:00Z,19,0
2020-03-10T00:00:00Z,27,0
2020-03-11T00:00:00Z,34,1
2020-03-12T00:00:00Z,34,1
2020-03-13T00:00:00Z,69,4
2020-03-14T00:00:00Z,96,5
2020-03-15T00:00:00Z,117,5
2020-03-16T00:00:00Z,134,5
2020-03-17T00:00:00Z,172,5
2020-03-18T00:00:00Z,227,19
2020-03-19T00:00:00Z,311,25
2020-03-20T00:00:00Z,369,32
2020-03-21T00:00:00Z,450,38
2020-03-22T00:00:00Z,514,48
2020-03-23T00:00:00Z,579,49
2020-03-24T00:00:00Z,686,55
2020-03-25T00:00:00Z,790,58
2020-03-26T00:00:00Z,893,78
2020-03-27T00:00:00Z,1046,87
2020-03-28T00:00:00Z,1155,102
2020-03-29T00:00:00Z,1285,114
2020-03-30T00:00:00Z,1414,122
2020-03-31T00:00:00Z,1528,136
2020-04-01T00:00:00Z,1677,157
2020-04-02T00:00:00Z,1790,170
2020-04-03T00:00:00Z,1986,181
2020-04-04T00:00:00Z,2092,191
2020-04-05T00:00:00Z,2273,198
2020-04-06T00:00:00Z,2491,209
2020-04-07T00:00:00Z,2738,221
2020-04-08T00:00:00Z,2956,240
2020-04-09T00:00:00Z,3293,280
