TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,2,2
2020-02-20T00:00:00Z,5,2
2020-02-21T00:00:00Z,18,4
2020-02-22T00:00:00Z,28,5
2020-02-23T00:00:00Z,43,8
2020-02-24T00:00:00Z,61,12
2020-02-25T00:00:00Z,95,16
2020-02-26T00:00:00Z,139,19
2020-02-27T00:00:00Z,245,26
2020-02-28T00:00:00Z,388,34
2020-02-29T00:00:00Z,593,43
2020-03-01T00:00:00Z,978,54
2020-03-02T00:00:00Z,1501,66
2020-03-03T00:00:00Z,2336,77
2020-03-04T00:00:00Z,2922,92
2020-03-05T00:00:00Z,3513,107
2020-03-06T00:00:00Z,4747,124
2020-03-07T00:00:00Z,5823,145
2020-03-08T00:00:00Z,6566,194
2020-03-09T00:00:00Z,7161,237
2020-03-10T00:00:00Z,8042,291
2020-03-11T00:00:00Z,9000,354
2020-03-12T00:00:00Z,10075,429
2020-03-13T00:00:00Z,11364,514
2020-03-14T00:00:00Z,12729,611
2020-03-15T00:00:00Z,13938,724
2020-03-16T00:00:00Z,14991,853
2020-03-17T00:00:00Z,16169,988
2020-03-18T00:00:00Z,17361,1135
2020-03-19T00:00:00Z,18407,1284
2020-03-20T00:00:00Z,19644,1433
2020-03-21T00:00:00Z,20610,1556
2020-03-22T00:00:00Z,21638,1685
2020-03-23T00:00:00Z,23049,1812
2020-03-24T00:00:00Z,24811,1934
2020-03-25T00:00:00Z,27017,2077
2020-03-26T00:00:00Z,29406,2234
2020-03-27T00:00:00Z,32332,2378
2020-03-28T00:00:00Z,35408,2517
2020-03-29T00:00:00Z,38309,2640
2020-03-30T00:00:00Z,41495,2757
2020-03-31T00:00:00Z,44605,2898
2020-04-01T00:00:00Z,47593,3036
2020-04-02T00:00:00Z,50468,3160
2020-04-03T00:00:00Z,53183,3294
2020-04-04T00:00:00Z,55743,3452
2020-04-05T00:00:00Z,58226,3603
2020-04-06T00:00:00Z,60500,3739
2020-04-07T00:00:00Z,62589,3872
2020-04-08T00:00:00Z,64586,3993
2020-04-09T00:00:00Z,66220,4110
2020-04-10T00:00:00Z,68192,4232
2020-04-11T00:00:00Z,70029,4357
