TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,2,0
2020-01-23T00:00:00Z,2,0
2020-01-24T00:00:00Z,2,0
2020-01-25T00:00:00Z,2,0
2020-01-26T00:00:00Z,4,0
2020-01-27T00:00:00Z,4,0
2020-01-28T00:00:00Z,7,0
2020-01-29T00:00:00Z,7,0
2020-01-30T00:00:00Z,11,0
2020-01-31T00:00:00Z,15,0
2020-02-01T00:00:00Z,20,0
2020-02-02T00:00:00Z,20,0
2020-02-03T00:00:00Z,20,0
2020-02-04T00:00:00Z,22,0
2020-02-05T00:00:00Z,22,0
2020-02-06T00:00:00Z,22,0
2020-02-07T00:00:00Z,25,0
2020-02-08T00:00:00Z,25,0
2020-02-09T00:00:00Z,26,0
2020-02-10T00:00:00Z,26,0
2020-02-11T00:00:00Z,26,0
2020-02-12T00:00:00Z,28,0
2020-02-13T00:00:00Z,28,1
2020-02-14T00:00:00Z,29,1
2020-02-15T00:00:00Z,43,1
2020-02-16T00:00:00Z,59,1
2020-02-17T00:00:00Z,66,1
2020-02-18T00:00:00Z,74,1
2020-02-19T00:00:00Z,84,1
2020-02-20T00:00:00Z,94,1
2020-02-21T00:00:00Z,105,1
2020-02-22T00:00:00Z,122,1
2020-02-23T00:00:00Z,147,1
2020-02-24T00:00:00Z,159,1
2020-02-25T00:00:00Z,170,1
2020-02-26T00:00:00Z,189,2
2020-02-27T00:00:00Z,214,4
2020-02-28T00:00:00Z,228,4
2020-02-29T00:00:00Z,241,5
2020-03-01T00:00:00Z,256,6
2020-03-02T00:00:00Z,274,6
2020-03-03T00:00:00Z,293,6
2020-03-04T00:00:00Z,331,6
2020-03-05T00:00:00Z,360,6
2020-03-06T00:00:00Z,420,6
2020-03-07T00:00:00Z,461,6
2020-03-08T00:00:00Z,502,6
2020-03-09T00:00:00Z,511,10
2020-03-10T00:00:00Z,581,10
2020-03-11T00:00:00Z,639,15
2020-03-12T00:00:00Z,639,16
2020-03-13T00:00:00Z,701,19
2020-03-14T00:00:00Z,773,22
2020-03-15T00:00:00Z,839,22
2020-03-16T00:00:00Z,839,27
2020-03-17T00:00:00Z,878,29
2020-03-18T00:00:00Z,889,29
2020-03-19T00:00:00Z,924,29
2020-03-20T00:00:00Z,963,33
2020-03-21T00:00:00Z,1007,35
2020-03-22T00:00:00Z,1101,41
2020-03-23T00:00:00Z,1128,42
2020-03-24T00:00:00Z,1193,43
2020-03-25T00:00:00Z,1307,45
2020-03-26T00:00:00Z,1387,47
2020-03-27T00:00:00Z,1468,49
2020-03-28T00:00:00Z,1693,52
2020-03-29T00:00:00Z,1866,54
2020-03-30T00:00:00Z,1866,54
2020-03-31T00:00:00Z,1953,56
2020-04-01T00:00:00Z,2178,57
2020-04-02T00:00:00Z,2495,62
2020-04-03T00:00:00Z,2617,63
2020-04-04T00:00:00Z,3139,77
2020-04-05T00:00:00Z,3139,77
2020-04-06T00:00:00Z,3654,85
2020-04-07T00:00:00Z,3906,92
2020-04-08T00:00:00Z,4257,93
2020-04-09T00:00:00Z,4667,94
