TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,1,0
2020-01-23T00:00:00Z,1,0
2020-01-24T00:00:00Z,2,0
2020-01-25T00:00:00Z,2,0
2020-01-26T00:00:00Z,3,0
2020-01-27T00:00:00Z,4,0
2020-01-28T00:00:00Z,4,0
2020-01-29T00:00:00Z,4,0
2020-01-30T00:00:00Z,4,0
2020-01-31T00:00:00Z,11,0
2020-02-01T00:00:00Z,12,0
2020-02-02T00:00:00Z,15,0
2020-02-03T00:00:00Z,15,0
2020-02-04T00:00:00Z,16,0
2020-02-05T00:00:00Z,19,0
2020-02-06T00:00:00Z,23,0
2020-02-07T00:00:00Z,24,0
2020-02-08T00:00:00Z,24,0
2020-02-09T00:00:00Z,25,0
2020-02-10T00:00:00Z,27,0
2020-02-11T00:00:00Z,28,0
2020-02-12T00:00:00Z,28,0
2020-02-13T00:00:00Z,28,0
2020-02-14T00:00:00Z,28,0
2020-02-15T00:00:00Z,28,0
2020-02-16T00:00:00Z,29,0
2020-02-17T00:00:00Z,30,0
2020-02-18T00:00:00Z,31,0
2020-02-19T00:00:00Z,31,0
2020-02-20T00:00:00Z,104,1
2020-02-21T00:00:00Z,204,2
2020-02-22T00:00:00Z,433,2
2020-02-23T00:00:00Z,602,6
2020-02-24T00:00:00Z,833,8
2020-02-25T00:00:00Z,977,10
2020-02-26T00:00:00Z,1261,12
2020-02-27T00:00:00Z,1766,13
2020-02-28T00:00:00Z,2337,13
2020-02-29T00:00:00Z,3150,16
2020-03-01T00:00:00Z,3736,17
2020-03-02T00:00:00Z,4335,28
2020-03-03T00:00:00Z,5186,28
2020-03-04T00:00:00Z,5621,35
2020-03-05T00:00:00Z,6088,35
2020-03-06T00:00:00Z,6593,42
2020-03-07T00:00:00Z,7041,44
2020-03-08T00:00:00Z,7314,50
2020-03-09T00:00:00Z,7478,53
2020-03-10T00:00:00Z,7513,54
2020-03-11T00:00:00Z,7755,60
2020-03-12T00:00:00Z,7869,66
2020-03-13T00:00:00Z,7979,66
2020-03-14T00:00:00Z,8086,72
2020-03-15T00:00:00Z,8162,75
2020-03-16T00:00:00Z,8236,75
2020-03-17T00:00:00Z,8320,81
2020-03-18T00:00:00Z,8413,84
2020-03-19T00:00:00Z,8565,91
2020-03-20T00:00:00Z,8652,94
2020-03-21T00:00:00Z,8799,102
2020-03-22T00:00:00Z,8961,111
2020-03-23T00:00:00Z,8961,111
2020-03-24T00:00:00Z,9037,120
2020-03-25T00:00:00Z,9137,126
2020-03-26T00:00:00Z,9241,131
2020-03-27T00:00:00Z,9332,139
2020-03-28T00:00:00Z,9478,144
2020-03-29T00:00:00Z,9583,152
2020-03-30T00:00:00Z,9661,158
2020-03-31T00:00:00Z,9786,162
2020-04-01T00:00:00Z,9887,165
2020-04-02T00:00:00Z,9976,169
2020-04-03T00:00:00Z,10062,174
2020-04-04T00:00:00Z,10156,177
2020-04-05T00:00:00Z,10237,183
2020-04-06T00:00:00Z,10284,186
2020-04-07T00:00:00Z,10331,192
2020-04-08T00:00:00Z,10384,200
2020-04-09T00:00:00Z,10423,204
