TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,0,0
2020-02-26T00:00:00Z,0,0
2020-02-27T00:00:00Z,0,0
2020-02-28T00:00:00Z,0,0
2020-02-29T00:00:00Z,0,0
2020-03-01T00:00:00Z,0,0
2020-03-02T00:00:00Z,1,0
2020-03-03T00:00:00Z,1,0
2020-03-04T00:00:00Z,1,0
2020-03-05T00:00:00Z,2,0
2020-03-06T00:00:00Z,2,0
2020-03-07T00:00:00Z,2,0
2020-03-08T00:00:00Z,2,0
2020-03-09T00:00:00Z,2,0
2020-03-10T00:00:00Z,3,1
2020-03-11T00:00:00Z,5,1
2020-03-12T00:00:00Z,6,1
2020-03-13T00:00:00Z,7,1
2020-03-14T00:00:00Z,17,1
2020-03-15T00:00:00Z,28,1
2020-03-16T00:00:00Z,29,1
2020-03-17T00:00:00Z,38,2
2020-03-18T00:00:00Z,49,2
2020-03-19T00:00:00Z,63,2
2020-03-20T00:00:00Z,77,3
2020-03-21T00:00:00Z,96,3
2020-03-22T00:00:00Z,115,4
2020-03-23T00:00:00Z,143,4
2020-03-24T00:00:00Z,170,5
2020-03-25T00:00:00Z,225,6
2020-03-26T00:00:00Z,275,11
2020-03-27T00:00:00Z,345,23
2020-03-28T00:00:00Z,402,25
2020-03-29T00:00:00Z,479,26
2020-03-30T00:00:00Z,556,33
2020-03-31T00:00:00Z,617,36
2020-04-01T00:00:00Z,654,39
2020-04-02T00:00:00Z,708,44
2020-04-03T00:00:00Z,791,48
2020-04-04T00:00:00Z,919,59
2020-04-05T00:00:00Z,1021,70
2020-04-06T00:00:00Z,1120,80
2020-04-07T00:00:00Z,1184,90
2020-04-08T00:00:00Z,1275,93
2020-04-09T00:00:00Z,1374,97
2020-04-10T00:00:00Z,1448,107
2020-04-11T00:00:00Z,1545,111
2020-04-12T00:00:00Z,1661,118
2020-04-13T00:00:00Z,1763,126
2020-04-14T00:00:00Z,1888,126
2020-04-15T00:00:00Z,2024,127
