TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,0,0
2020-02-26T00:00:00Z,0,0
2020-02-27T00:00:00Z,0,0
2020-02-28T00:00:00Z,1,0
2020-02-29T00:00:00Z,4,0
2020-03-01T00:00:00Z,5,0
2020-03-02T00:00:00Z,5,0
2020-03-03T00:00:00Z,5,0
2020-03-04T00:00:00Z,5,0
2020-03-05T00:00:00Z,5,0
2020-03-06T00:00:00Z,6,0
2020-03-07T00:00:00Z,6,0
2020-03-08T00:00:00Z,7,0
2020-03-09T00:00:00Z,7,0
2020-03-10T00:00:00Z,7,0
2020-03-11T00:00:00Z,8,0
2020-03-12T00:00:00Z,12,0
2020-03-13T00:00:00Z,12,0
2020-03-14T00:00:00Z,26,0
2020-03-15T00:00:00Z,41,0
2020-03-16T00:00:00Z,53,0
2020-03-17T00:00:00Z,82,0
2020-03-18T00:00:00Z,93,0
2020-03-19T00:00:00Z,118,1
2020-03-20T00:00:00Z,164,1
2020-03-21T00:00:00Z,203,2
2020-03-22T00:00:00Z,251,2
2020-03-23T00:00:00Z,316,3
2020-03-24T00:00:00Z,367,4
2020-03-25T00:00:00Z,405,5
2020-03-26T00:00:00Z,475,6
2020-03-27T00:00:00Z,585,8
2020-03-28T00:00:00Z,717,12
2020-03-29T00:00:00Z,848,16
2020-03-30T00:00:00Z,993,20
2020-03-31T00:00:00Z,1094,28
2020-04-01T00:00:00Z,1215,29
2020-04-02T00:00:00Z,1378,37
2020-04-03T00:00:00Z,1510,50
2020-04-04T00:00:00Z,1688,60
2020-04-05T00:00:00Z,1890,79
2020-04-06T00:00:00Z,2143,94
2020-04-07T00:00:00Z,2439,125
2020-04-08T00:00:00Z,2785,141
2020-04-09T00:00:00Z,3181,174
2020-04-10T00:00:00Z,3441,194
2020-04-11T00:00:00Z,3844,233
