TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,0,0
2020-02-26T00:00:00Z,0,0
2020-02-27T00:00:00Z,0,0
2020-02-28T00:00:00Z,0,0
2020-02-29T00:00:00Z,0,0
2020-03-01T00:00:00Z,0,0
2020-03-02T00:00:00Z,2,0
2020-03-03T00:00:00Z,2,0
2020-03-04T00:00:00Z,5,0
2020-03-05T00:00:00Z,8,0
2020-03-06T00:00:00Z,13,0
2020-03-07T00:00:00Z,20,0
2020-03-08T00:00:00Z,30,0
2020-03-09T00:00:00Z,30,0
2020-03-10T00:00:00Z,41,0
2020-03-11T00:00:00Z,59,0
2020-03-12T00:00:00Z,59,0
2020-03-13T00:00:00Z,112,0
2020-03-14T00:00:00Z,169,0
2020-03-15T00:00:00Z,245,0
2020-03-16T00:00:00Z,331,0
2020-03-17T00:00:00Z,448,1
2020-03-18T00:00:00Z,448,2
2020-03-19T00:00:00Z,785,3
2020-03-20T00:00:00Z,1020,6
2020-03-21T00:00:00Z,1280,12
2020-03-22T00:00:00Z,1600,14
2020-03-23T00:00:00Z,2060,23
2020-03-24T00:00:00Z,2362,33
2020-03-25T00:00:00Z,2995,43
2020-03-26T00:00:00Z,3544,60
2020-03-27T00:00:00Z,4268,76
2020-03-28T00:00:00Z,5170,100
2020-03-29T00:00:00Z,5962,119
2020-03-30T00:00:00Z,6408,140
2020-03-31T00:00:00Z,7443,160
2020-04-01T00:00:00Z,8251,187
2020-04-02T00:00:00Z,9034,209
2020-04-03T00:00:00Z,9886,246
2020-04-04T00:00:00Z,10524,266
2020-04-05T00:00:00Z,11278,295
2020-04-06T00:00:00Z,11730,311
2020-04-07T00:00:00Z,12442,345
2020-04-08T00:00:00Z,13141,380
2020-04-09T00:00:00Z,13956,409
2020-04-10T00:00:00Z,15472,435
2020-04-11T00:00:00Z,15987,470
2020-04-12T00:00:00Z,16585,504
2020-04-13T00:00:00Z,16934,535
2020-04-14T00:00:00Z,17448,567
2020-04-15T00:00:00Z,18091,599
