TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,0,0
2020-02-26T00:00:00Z,0,0
2020-02-27T00:00:00Z,0,0
2020-02-28T00:00:00Z,0,0
2020-02-29T00:00:00Z,0,0
2020-03-01T00:00:00Z,0,0
2020-03-02T00:00:00Z,0,0
2020-03-03T00:00:00Z,0,0
2020-03-04T00:00:00Z,0,0
2020-03-05T00:00:00Z,2,0
2020-03-06T00:00:00Z,7,0
2020-03-07T00:00:00Z,7,0
2020-03-08T00:00:00Z,16,0
2020-03-09T00:00:00Z,16,0
2020-03-10T00:00:00Z,31,0
2020-03-11T00:00:00Z,57,0
2020-03-12T00:00:00Z,89,0
2020-03-13T00:00:00Z,141,0
2020-03-14T00:00:00Z,181,1
2020-03-15T00:00:00Z,219,1
2020-03-16T00:00:00Z,253,1
2020-03-17T00:00:00Z,275,1
2020-03-18T00:00:00Z,275,1
2020-03-19T00:00:00Z,286,1
2020-03-20T00:00:00Z,341,1
2020-03-21T00:00:00Z,383,1
2020-03-22T00:00:00Z,414,2
2020-03-23T00:00:00Z,442,3
2020-03-24T00:00:00Z,480,4
2020-03-25T00:00:00Z,528,5
2020-03-26T00:00:00Z,562,6
2020-03-27T00:00:00Z,632,9
2020-03-28T00:00:00Z,684,9
2020-03-29T00:00:00Z,730,11
2020-03-30T00:00:00Z,756,11
2020-03-31T00:00:00Z,802,15
2020-04-01T00:00:00Z,841,15
2020-04-02T00:00:00Z,897,17
2020-04-03T00:00:00Z,934,20
2020-04-04T00:00:00Z,977,22
2020-04-05T00:00:00Z,997,28
2020-04-06T00:00:00Z,1021,30
2020-04-07T00:00:00Z,1059,36
2020-04-08T00:00:00Z,1091,40
2020-04-09T00:00:00Z,1124,43
