TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,1,0
2020-02-01T00:00:00Z,1,0
2020-02-02T00:00:00Z,1,0
2020-02-03T00:00:00Z,1,0
2020-02-04T00:00:00Z,1,0
2020-02-05T00:00:00Z,1,0
2020-02-06T00:00:00Z,1,0
2020-02-07T00:00:00Z,1,0
2020-02-08T00:00:00Z,1,0
2020-02-09T00:00:00Z,1,0
2020-02-10T00:00:00Z,1,0
2020-02-11T00:00:00Z,1,0
2020-02-12T00:00:00Z,1,0
2020-02-13T00:00:00Z,1,0
2020-02-14T00:00:00Z,1,0
2020-02-15T00:00:00Z,1,0
2020-02-16T00:00:00Z,1,0
2020-02-17T00:00:00Z,1,0
2020-02-18T00:00:00Z,1,0
2020-02-19T00:00:00Z,1,0
2020-02-20T00:00:00Z,1,0
2020-02-21T00:00:00Z,1,0
2020-02-22T00:00:00Z,1,0
2020-02-23T00:00:00Z,1,0
2020-02-24T00:00:00Z,1,0
2020-02-25T00:00:00Z,1,0
2020-02-26T00:00:00Z,2,0
2020-02-27T00:00:00Z,7,0
2020-02-28T00:00:00Z,7,0
2020-02-29T00:00:00Z,12,0
2020-03-01T00:00:00Z,14,0
2020-03-02T00:00:00Z,15,0
2020-03-03T00:00:00Z,21,0
2020-03-04T00:00:00Z,35,0
2020-03-05T00:00:00Z,94,0
2020-03-06T00:00:00Z,101,0
2020-03-07T00:00:00Z,161,0
2020-03-08T00:00:00Z,203,0
2020-03-09T00:00:00Z,248,0
2020-03-10T00:00:00Z,355,0
2020-03-11T00:00:00Z,500,1
2020-03-12T00:00:00Z,599,1
2020-03-13T00:00:00Z,814,1
2020-03-14T00:00:00Z,961,2
2020-03-15T00:00:00Z,1022,3
2020-03-16T00:00:00Z,1103,6
2020-03-17T00:00:00Z,1190,7
2020-03-18T00:00:00Z,1279,10
2020-03-19T00:00:00Z,1439,11
2020-03-20T00:00:00Z,1639,16
2020-03-21T00:00:00Z,1763,20
2020-03-22T00:00:00Z,1934,21
2020-03-23T00:00:00Z,2046,25
2020-03-24T00:00:00Z,2286,36
2020-03-25T00:00:00Z,2526,62
2020-03-26T00:00:00Z,2840,77
2020-03-27T00:00:00Z,3069,105
2020-03-28T00:00:00Z,3447,105
2020-03-29T00:00:00Z,3700,110
2020-03-30T00:00:00Z,4028,146
2020-03-31T00:00:00Z,4435,180
2020-04-01T00:00:00Z,4947,239
2020-04-02T00:00:00Z,5568,308
2020-04-03T00:00:00Z,6131,358
2020-04-04T00:00:00Z,6443,373
2020-04-05T00:00:00Z,6830,401
2020-04-06T00:00:00Z,7206,477
2020-04-07T00:00:00Z,7693,591
2020-04-08T00:00:00Z,8419,687
2020-04-09T00:00:00Z,9141,793
2020-04-10T00:00:00Z,9685,870
2020-04-11T00:00:00Z,10151,887
