TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,2,0
2020-01-23T00:00:00Z,3,0
2020-01-24T00:00:00Z,5,0
2020-01-25T00:00:00Z,7,0
2020-01-26T00:00:00Z,8,0
2020-01-27T00:00:00Z,8,0
2020-01-28T00:00:00Z,14,0
2020-01-29T00:00:00Z,14,0
2020-01-30T00:00:00Z,14,0
2020-01-31T00:00:00Z,19,0
2020-02-01T00:00:00Z,19,0
2020-02-02T00:00:00Z,19,0
2020-02-03T00:00:00Z,19,0
2020-02-04T00:00:00Z,25,0
2020-02-05T00:00:00Z,25,0
2020-02-06T00:00:00Z,25,0
2020-02-07T00:00:00Z,25,0
2020-02-08T00:00:00Z,32,0
2020-02-09T00:00:00Z,32,0
2020-02-10T00:00:00Z,32,0
2020-02-11T00:00:00Z,33,0
2020-02-12T00:00:00Z,33,0
2020-02-13T00:00:00Z,33,0
2020-02-14T00:00:00Z,33,0
2020-02-15T00:00:00Z,33,0
2020-02-16T00:00:00Z,34,0
2020-02-17T00:00:00Z,35,0
2020-02-18T00:00:00Z,35,0
2020-02-19T00:00:00Z,35,0
2020-02-20T00:00:00Z,35,0
2020-02-21T00:00:00Z,35,0
2020-02-22T00:00:00Z,35,0
2020-02-23T00:00:00Z,35,0
2020-02-24T00:00:00Z,35,0
2020-02-25T00:00:00Z,37,0
2020-02-26T00:00:00Z,40,0
2020-02-27T00:00:00Z,40,0
2020-02-28T00:00:00Z,41,0
2020-02-29T00:00:00Z,42,0
2020-03-01T00:00:00Z,42,1
2020-03-02T00:00:00Z,43,1
2020-03-03T00:00:00Z,43,1
2020-03-04T00:00:00Z,43,1
2020-03-05T00:00:00Z,47,1
2020-03-06T00:00:00Z,48,1
2020-03-07T00:00:00Z,50,1
2020-03-08T00:00:00Z,50,1
2020-03-09T00:00:00Z,50,1
2020-03-10T00:00:00Z,53,1
2020-03-11T00:00:00Z,59,1
2020-03-12T00:00:00Z,70,1
2020-03-13T00:00:00Z,75,1
2020-03-14T00:00:00Z,82,1
2020-03-15T00:00:00Z,114,1
2020-03-16T00:00:00Z,147,1
2020-03-17T00:00:00Z,177,1
2020-03-18T00:00:00Z,212,1
2020-03-19T00:00:00Z,272,1
2020-03-20T00:00:00Z,322,1
2020-03-21T00:00:00Z,411,1
2020-03-22T00:00:00Z,599,1
2020-03-23T00:00:00Z,721,1
2020-03-24T00:00:00Z,827,4
2020-03-25T00:00:00Z,934,4
2020-03-26T00:00:00Z,1045,4
2020-03-27T00:00:00Z,1136,5
2020-03-28T00:00:00Z,1245,6
2020-03-29T00:00:00Z,1388,7
2020-03-30T00:00:00Z,1524,9
2020-03-31T00:00:00Z,1651,10
2020-04-01T00:00:00Z,1771,12
2020-04-02T00:00:00Z,1875,15
2020-04-03T00:00:00Z,1978,19
2020-04-04T00:00:00Z,2067,20
2020-04-05T00:00:00Z,2169,23
2020-04-06T00:00:00Z,2220,26
2020-04-07T00:00:00Z,2258,27
2020-04-08T00:00:00Z,2369,30
2020-04-09T00:00:00Z,2423,32
2020-04-10T00:00:00Z,2473,33
2020-04-11T00:00:00Z,2518,35
2020-04-12T00:00:00Z,2551,38
2020-04-13T00:00:00Z,2579,40
2020-04-14T00:00:00Z,2613,41
2020-04-15T00:00:00Z,2643,43
