TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,0,0
2020-02-02T00:00:00Z,0,0
2020-02-03T00:00:00Z,0,0
2020-02-04T00:00:00Z,0,0
2020-02-05T00:00:00Z,0,0
2020-02-06T00:00:00Z,0,0
2020-02-07T00:00:00Z,0,0
2020-02-08T00:00:00Z,0,0
2020-02-09T00:00:00Z,0,0
2020-02-10T00:00:00Z,0,0
2020-02-11T00:00:00Z,0,0
2020-02-12T00:00:00Z,0,0
2020-02-13T00:00:00Z,0,0
2020-02-14T00:00:00Z,0,0
2020-02-15T00:00:00Z,0,0
2020-02-16T00:00:00Z,0,0
2020-02-17T00:00:00Z,0,0
2020-02-18T00:00:00Z,0,0
2020-02-19T00:00:00Z,0,0
2020-02-20T00:00:00Z,0,0
2020-02-21T00:00:00Z,0,0
2020-02-22T00:00:00Z,0,0
2020-02-23T00:00:00Z,0,0
2020-02-24T00:00:00Z,0,0
2020-02-25T00:00:00Z,0,0
2020-02-26T00:00:00Z,0,0
2020-02-27T00:00:00Z,0,0
2020-02-28T00:00:00Z,0,0
2020-02-29T00:00:00Z,0,0
2020-03-01T00:00:00Z,0,0
2020-03-02T00:00:00Z,0,0
2020-03-03T00:00:00Z,0,0
2020-03-04T00:00:00Z,0,0
2020-03-05T00:00:00Z,0,0
2020-03-06T00:00:00Z,0,0
2020-03-07T00:00:00Z,0,0
2020-03-08T00:00:00Z,0,0
2020-03-09T00:00:00Z,0,0
2020-03-10T00:00:00Z,0,0
2020-03-11T00:00:00Z,1,0
2020-03-12T00:00:00Z,1,0
2020-03-13T00:00:00Z,5,0
2020-03-14T00:00:00Z,5,0
2020-03-15T00:00:00Z,6,0
2020-03-16T00:00:00Z,18,0
2020-03-17T00:00:00Z,47,1
2020-03-18T00:00:00Z,98,1
2020-03-19T00:00:00Z,192,3
2020-03-20T00:00:00Z,359,4
2020-03-21T00:00:00Z,670,9
2020-03-22T00:00:00Z,1236,30
2020-03-23T00:00:00Z,1529,37
2020-03-24T00:00:00Z,1872,44
2020-03-25T00:00:00Z,2433,59
2020-03-26T00:00:00Z,3629,75
2020-03-27T00:00:00Z,5698,92
2020-03-28T00:00:00Z,7402,108
2020-03-29T00:00:00Z,9217,131
2020-03-30T00:00:00Z,10827,168
2020-03-31T00:00:00Z,13531,214
2020-04-01T00:00:00Z,15679,277
2020-04-02T00:00:00Z,18135,356
2020-04-03T00:00:00Z,20921,425
2020-04-04T00:00:00Z,23934,501
2020-04-05T00:00:00Z,27069,574
2020-04-06T00:00:00Z,30217,649
2020-04-07T00:00:00Z,34109,725
2020-04-08T00:00:00Z,38226,812
2020-04-09T00:00:00Z,42282,908
2020-04-10T00:00:00Z,47029,1006
2020-04-11T00:00:00Z,52167,1101
2020-04-12T00:00:00Z,56956,1198
2020-04-13T00:00:00Z,61049,1296
2020-04-14T00:00:00Z,65111,1403
2020-04-15T00:00:00Z,69392,1518
