TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,1,0
2020-01-23T00:00:00Z,1,0
2020-01-24T00:00:00Z,3,0
2020-01-25T00:00:00Z,3,0
2020-01-26T00:00:00Z,4,0
2020-01-27T00:00:00Z,5,0
2020-01-28T00:00:00Z,8,0
2020-01-29T00:00:00Z,8,0
2020-01-30T00:00:00Z,9,0
2020-01-31T00:00:00Z,10,0
2020-02-01T00:00:00Z,10,0
2020-02-02T00:00:00Z,10,0
2020-02-03T00:00:00Z,10,0
2020-02-04T00:00:00Z,11,0
2020-02-05T00:00:00Z,11,0
2020-02-06T00:00:00Z,16,0
2020-02-07T00:00:00Z,16,0
2020-02-08T00:00:00Z,17,0
2020-02-09T00:00:00Z,18,0
2020-02-10T00:00:00Z,18,0
2020-02-11T00:00:00Z,18,0
2020-02-12T00:00:00Z,18,0
2020-02-13T00:00:00Z,18,0
2020-02-14T00:00:00Z,18,0
2020-02-15T00:00:00Z,18,0
2020-02-16T00:00:00Z,20,1
2020-02-17T00:00:00Z,22,1
2020-02-18T00:00:00Z,22,1
2020-02-19T00:00:00Z,23,1
2020-02-20T00:00:00Z,24,1
2020-02-21T00:00:00Z,26,1
2020-02-22T00:00:00Z,26,1
2020-02-23T00:00:00Z,28,1
2020-02-24T00:00:00Z,30,1
2020-02-25T00:00:00Z,31,1
2020-02-26T00:00:00Z,32,1
2020-02-27T00:00:00Z,32,1
2020-02-28T00:00:00Z,34,1
2020-02-29T00:00:00Z,39,1
2020-03-01T00:00:00Z,40,1
2020-03-02T00:00:00Z,41,1
2020-03-03T00:00:00Z,42,1
2020-03-04T00:00:00Z,42,1
2020-03-05T00:00:00Z,44,1
2020-03-06T00:00:00Z,45,1
2020-03-07T00:00:00Z,45,1
2020-03-08T00:00:00Z,45,1
2020-03-09T00:00:00Z,45,1
2020-03-10T00:00:00Z,47,1
2020-03-11T00:00:00Z,48,1
2020-03-12T00:00:00Z,49,1
2020-03-13T00:00:00Z,50,1
2020-03-14T00:00:00Z,53,1
2020-03-15T00:00:00Z,59,1
2020-03-16T00:00:00Z,67,1
2020-03-17T00:00:00Z,77,1
2020-03-18T00:00:00Z,100,1
2020-03-19T00:00:00Z,108,1
2020-03-20T00:00:00Z,135,2
2020-03-21T00:00:00Z,153,2
2020-03-22T00:00:00Z,169,2
2020-03-23T00:00:00Z,195,2
2020-03-24T00:00:00Z,215,2
2020-03-25T00:00:00Z,235,2
2020-03-26T00:00:00Z,252,2
2020-03-27T00:00:00Z,267,2
2020-03-28T00:00:00Z,283,2
2020-03-29T00:00:00Z,298,2
2020-03-30T00:00:00Z,306,5
2020-03-31T00:00:00Z,322,5
2020-04-01T00:00:00Z,329,5
2020-04-02T00:00:00Z,339,5
2020-04-03T00:00:00Z,348,5
2020-04-04T00:00:00Z,355,5
2020-04-05T00:00:00Z,363,5
2020-04-06T00:00:00Z,373,5
2020-04-07T00:00:00Z,376,5
2020-04-08T00:00:00Z,379,5
2020-04-09T00:00:00Z,380,5
2020-04-10T00:00:00Z,382,6
2020-04-11T00:00:00Z,385,6
