TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,555,17
2020-01-23T00:00:00Z,654,18
2020-01-24T00:00:00Z,941,26
2020-01-25T00:00:00Z,1434,42
2020-01-26T00:00:00Z,2118,56
2020-01-27T00:00:00Z,2927,82
2020-01-28T00:00:00Z,5578,131
2020-01-29T00:00:00Z,6166,133
2020-01-30T00:00:00Z,8234,171
2020-01-31T00:00:00Z,9927,213
2020-02-01T00:00:00Z,12038,259
2020-02-02T00:00:00Z,16787,362
2020-02-03T00:00:00Z,19881,426
2020-02-04T00:00:00Z,23892,492
2020-02-05T00:00:00Z,27635,564
2020-02-06T00:00:00Z,30794,634
2020-02-07T00:00:00Z,34391,719
2020-02-08T00:00:00Z,37120,806
2020-02-09T00:00:00Z,40150,906
2020-02-10T00:00:00Z,42762,1013
2020-02-11T00:00:00Z,44802,1113
2020-02-12T00:00:00Z,45221,1118
2020-02-13T00:00:00Z,60368,1371
2020-02-14T00:00:00Z,66885,1523
2020-02-15T00:00:00Z,69030,1666
2020-02-16T00:00:00Z,71224,1770
2020-02-17T00:00:00Z,73258,1868
2020-02-18T00:00:00Z,75136,2007
2020-02-19T00:00:00Z,75639,2122
2020-02-20T00:00:00Z,76197,2247
2020-02-21T00:00:00Z,76819,2251
2020-02-22T00:00:00Z,78572,2458
2020-02-23T00:00:00Z,78958,2469
2020-02-24T00:00:00Z,79561,2629
2020-02-25T00:00:00Z,80406,2708
2020-02-26T00:00:00Z,81388,2770
2020-02-27T00:00:00Z,82746,2814
2020-02-28T00:00:00Z,84112,2872
2020-02-29T00:00:00Z,86011,2941
2020-03-01T00:00:00Z,88369,2996
2020-03-02T00:00:00Z,90306,3085
2020-03-03T00:00:00Z,92840,3160
2020-03-04T00:00:00Z,95120,3254
2020-03-05T00:00:00Z,97886,3348
2020-03-06T00:00:00Z,101801,3460
2020-03-07T00:00:00Z,105847,3558
2020-03-08T00:00:00Z,109821,3802
2020-03-09T00:00:00Z,113590,3988
2020-03-10T00:00:00Z,118620,4262
2020-03-11T00:00:00Z,125875,4615
2020-03-12T00:00:00Z,128352,4720
2020-03-13T00:00:00Z,145205,5404
2020-03-14T00:00:00Z,156101,5819
2020-03-15T00:00:00Z,167454,6440
2020-03-16T00:00:00Z,181574,7126
2020-03-17T00:00:00Z,197102,7905
2020-03-18T00:00:00Z,214821,8733
2020-03-19T00:00:00Z,242570,9867
2020-03-20T00:00:00Z,272208,11299
2020-03-21T00:00:00Z,304507,12973
2020-03-22T00:00:00Z,336953,14651
2020-03-23T00:00:00Z,378235,16505
2020-03-24T00:00:00Z,418045,18625
2020-03-25T00:00:00Z,467653,21181
2020-03-26T00:00:00Z,529591,23970
2020-03-27T00:00:00Z,593291,27198
2020-03-28T00:00:00Z,660693,30652
2020-03-29T00:00:00Z,720140,33925
2020-03-30T00:00:00Z,782389,37582
2020-03-31T00:00:00Z,857487,42107
2020-04-01T00:00:00Z,932605,46809
2020-04-02T00:00:00Z,1013466,52983
2020-04-03T00:00:00Z,1095917,58787
2020-04-04T00:00:00Z,1197408,64606
2020-04-05T00:00:00Z,1272115,69374
2020-04-06T00:00:00Z,1345101,74565
2020-04-07T00:00:00Z,1426096,81865
2020-04-08T00:00:00Z,1511104,88338
2020-04-09T00:00:00Z,1595350,95455
2020-04-10T00:00:00Z,1691719,102525
2020-04-11T00:00:00Z,1771514,108503
